N	class	acc_strict_mean	acc_strict_sd	acc_nearest_mean	acc_nearest_sd
20	overall	0.666928571428571	0.0571848240553992	0.985357142857143	0.0104216901925153
20	0	0.72	0.0956107428138394	0.949	0.0487106484531593
20	0.125	0.375	0.0988571053224161	0.9905	0.0197138622201831
20	0.25	0.752	0.103211071366037	0.994	0.0178093154605032
20	0.5	0.91	0.0810287391340663	1	0
20	0.75	0.543	0.147713208343709	0.964	0.0477154867602509
20	0.875	0.3685	0.157578744144192	1	0
20	1	1	0	1	0
50	overall	0.743742857142857	0.0396723230715472	0.992228571428571	0.00418259786767701
50	0	0.6834	0.0754276695472778	0.9576	0.0274550137092987
50	0.125	0.4686	0.0794554700267497	0.996	0.0089893314995099
50	0.25	0.7746	0.061486961745125	0.9966	0.00945163125250523
50	0.5	0.9428	0.0368474880247945	1	0
50	0.75	0.6766	0.0902098563451809	0.9954	0.00936574458957599
50	0.875	0.6602	0.104465740360613	1	0
50	1	1	0	1	0
100	overall	0.773657142857143	0.0256326425571172	0.992828571428571	0.00315202650339876
100	0	0.6531	0.0656543597143019	0.9573	0.0214549092590281
100	0.125	0.5079	0.056645183093329	0.9959	0.00652810551509101
100	0.25	0.7872	0.0448359523849179	0.9978	0.00504124403437698
100	0.5	0.9556	0.0261046843584546	1	0
100	0.75	0.7291	0.0631031702928633	0.9988	0.00356186309210064
100	0.875	0.7827	0.0628266011987106	1	0
100	1	1	0	1	0
200	overall	0.784564285714286	0.0162758428729356	0.993757142857143	0.00185991578976066
200	0	0.6513	0.0410445680408086	0.96215	0.0120238609574143
200	0.125	0.52055	0.0394846537123967	0.99655	0.00480398613947656
200	0.25	0.78815	0.0291604322341218	0.99815	0.00315067733618784
200	0.5	0.95925	0.017325974545156	1	0
200	0.75	0.74385	0.0364653910917564	0.99945	0.0015723301886761
200	0.875	0.82885	0.0390987806263142	1	0
200	1	1	0	1	0
500	overall	0.791091428571429	0.00981959555241601	0.993702857142857	0.00127123156214795
500	0	0.6421	0.0260789399920916	0.96158	0.00813668584656288
500	0.125	0.52738	0.0221741409135174	0.99658	0.0026099266602181
500	0.25	0.78642	0.0196808782755488	0.99806	0.00197877627728745
500	0.5	0.96166	0.00877118791120892	1	0
500	0.75	0.75896	0.0267807861171121	0.9997	0.000717740562565274
500	0.875	0.86112	0.0198607678857113	1	0
500	1	1	0	1	0
